case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,86.9,0.8,0.5278,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.0,12.0,7.9,10.0,10.0,15.0,10.0,5.0,5.0,36657.06,
TC-02,True,88.5,0.4,1.0,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.5,6.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,42679.78,
TC-03,True,87.6,1.0,0.55,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,9.4,15.0,8.2,10.0,10.0,15.0,10.0,5.0,5.0,42219.39,
TC-04,True,89.9,0.8333,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,11.2,12.5,11.2,10.0,10.0,15.0,10.0,5.0,5.0,44191.23,
TC-05,True,87.3,0.6667,0.6875,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.0,10.0,10.3,10.0,10.0,15.0,10.0,5.0,5.0,36495.07,
TC-06,True,85.6,1.0,0.625,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,6.2,15.0,9.4,10.0,10.0,15.0,10.0,5.0,5.0,37607.09,
TC-07,True,85.6,0.5,0.6667,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.1,7.5,10.0,10.0,10.0,15.0,10.0,5.0,5.0,40260.09,
TC-08,True,93.0,1.0,0.7321,0.8,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,15.0,11.0,10.0,10.0,12.0,10.0,5.0,5.0,38813.44,
TC-09,True,95.0,1.0,1.0,1.0,True,배포 가능,,10.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.03,
TC-10,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-11,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-12,True,91.3,1.0,0.7926,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,9.4,15.0,11.9,10.0,10.0,15.0,10.0,5.0,5.0,42902.04,
TC-13,True,82.1,0.4286,0.6471,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,11.0,6.4,9.7,10.0,10.0,15.0,10.0,5.0,5.0,43587.83,
TC-14,True,86.6,0.4444,0.7878,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.1,6.7,11.8,10.0,10.0,15.0,10.0,5.0,5.0,48842.12,
TC-15,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1556.99,NO_MATCHING_VOC
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1651.37,NO_MATCHING_VOC
TC-17,True,86.7,0.8,0.5665,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,11.2,12.0,8.5,10.0,10.0,15.0,10.0,5.0,5.0,41730.77,
TC-18,True,89.6,1.0,0.6076,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,10.5,15.0,9.1,10.0,10.0,15.0,10.0,5.0,5.0,45799.24,
