case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,87.7,0.8,0.5833,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.0,12.0,8.7,10.0,10.0,15.0,10.0,5.0,5.0,48517.9,
TC-02,True,87.7,0.6,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.5,9.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,40077.09,
TC-03,True,85.0,1.0,0.4167,1.0,True,"조건부 배포 가능, 개선 후 재검증",,11.2,15.0,6.3,7.5,10.0,15.0,10.0,5.0,5.0,42598.74,
TC-04,True,89.9,0.8333,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,11.2,12.5,11.2,10.0,10.0,15.0,10.0,5.0,5.0,47027.81,
TC-05,True,88.2,0.6667,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.0,10.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,40173.73,
TC-06,True,85.6,1.0,0.625,1.0,True,"조건부 배포 가능, 개선 후 재검증",,6.2,15.0,9.4,10.0,10.0,15.0,10.0,5.0,5.0,45914.75,
TC-07,True,86.0,0.6667,0.6944,1.0,True,"조건부 배포 가능, 개선 후 재검증",,13.1,10.0,10.4,7.5,10.0,15.0,10.0,5.0,5.0,40845.39,
TC-08,True,95.6,1.0,0.875,1.0,True,배포 가능,,15.0,15.0,13.1,7.5,10.0,15.0,10.0,5.0,5.0,41704.01,
TC-09,True,95.0,1.0,1.0,1.0,True,배포 가능,,10.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-10,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.03,
TC-11,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-12,True,86.6,1.0,0.4773,1.0,True,"조건부 배포 가능, 개선 후 재검증",,9.4,15.0,7.2,10.0,10.0,15.0,10.0,5.0,5.0,42357.43,
TC-13,True,83.1,0.4286,0.5859,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.9,6.4,8.8,10.0,10.0,15.0,10.0,5.0,5.0,51663.29,
TC-14,True,83.6,0.6,0.4309,1.0,True,"조건부 배포 가능, 개선 후 재검증",,13.1,9.0,6.5,10.0,10.0,15.0,10.0,5.0,5.0,39145.77,
TC-15,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1219.41,NO_MATCHING_VOC
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1206.81,NO_MATCHING_VOC
TC-17,True,85.5,1.0,0.5357,1.0,True,"조건부 배포 가능, 개선 후 재검증",,10.0,15.0,8.0,7.5,10.0,15.0,10.0,5.0,5.0,44696.03,
TC-18,True,89.5,1.0,0.5987,1.0,True,"조건부 배포 가능, 개선 후 재검증",,10.5,15.0,9.0,10.0,10.0,15.0,10.0,5.0,5.0,44710.9,
