case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,89.7,0.6,0.712,1.0,True,"조건부 배포 가능, 개선 후 재검증",,15.0,9.0,10.7,10.0,10.0,15.0,10.0,5.0,5.0,24.79,
TC-02,True,90.3,0.6,0.7526,1.0,True,배포 가능,,15.0,9.0,11.3,10.0,10.0,15.0,10.0,5.0,5.0,22.21,
TC-03,True,97.9,1.0,0.8571,1.0,True,배포 가능,,15.0,15.0,12.9,10.0,10.0,15.0,10.0,5.0,5.0,17.86,
TC-04,True,97.4,1.0,0.8258,1.0,True,배포 가능,,15.0,15.0,12.4,10.0,10.0,15.0,10.0,5.0,5.0,20.62,
TC-05,True,90.4,0.6,0.7581,1.0,True,배포 가능,,15.0,9.0,11.4,10.0,10.0,15.0,10.0,5.0,5.0,21.83,
TC-06,True,96.2,1.0,0.75,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,20.43,
TC-07,True,92.7,0.6667,0.8444,1.0,True,배포 가능,,15.0,10.0,12.7,10.0,10.0,15.0,10.0,5.0,5.0,20.76,
TC-08,True,98.3,1.0,0.8839,1.0,True,배포 가능,,15.0,15.0,13.3,10.0,10.0,15.0,10.0,5.0,5.0,20.01,
TC-09,True,97.0,1.0,0.7979,1.0,True,배포 가능,,15.0,15.0,12.0,10.0,10.0,15.0,10.0,5.0,5.0,18.8,
TC-10,True,86.8,0.4,0.7178,1.0,True,"조건부 배포 가능, 개선 후 재검증",,15.0,6.0,10.8,10.0,10.0,15.0,10.0,5.0,5.0,20.89,
TC-11,True,80.7,0.0,0.7157,1.0,True,"조건부 배포 가능, 개선 후 재검증",,15.0,0.0,10.7,10.0,10.0,15.0,10.0,5.0,5.0,22.21,
TC-12,True,96.2,1.0,0.7474,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,20.85,
TC-13,True,84.5,0.2,0.7667,1.0,True,"조건부 배포 가능, 개선 후 재검증",,15.0,3.0,11.5,10.0,10.0,15.0,10.0,5.0,5.0,22.06,
TC-14,True,92.2,0.6,0.879,1.0,True,배포 가능,,15.0,9.0,13.2,10.0,10.0,15.0,10.0,5.0,5.0,20.12,
TC-15,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,7.0,NO_MATCHING_VOC
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,8.41,NO_MATCHING_VOC
TC-17,True,96.2,1.0,0.75,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,21.87,
TC-18,True,97.1,1.0,0.8099,1.0,True,배포 가능,,15.0,15.0,12.1,10.0,10.0,15.0,10.0,5.0,5.0,26.18,
